UPRN,Single_Line_Address,Postcode,Local_Authority_District,Longitude,Latitude,Planned,OCC Comment
10033014111,"MIDWEST FORMWORK (UK) LTD, MENMARSH ROAD, WORMINGHALL, AYLESBURY, HP18 9UP",HP18 9UP,South_Oxfordshire,-1.1121729,51.7842154,No known plans,None
10011889264,"CLUE HILL FARMHOUSE, BRILL, AYLESBURY, HP18 9UZ",HP18 9UZ,Cherwell,-1.0914257,51.8441913,No known plans,None
10011897654,"GREEN COURT KENNELS AND CATTERY, GREEN COURT KENNELS, CLUE HILL FARM, STREET AT CORNER FARM RUNNING TO THE GREYHOUND TRACK AT CLUE HILL FARM, ARNCOTT, HP18 9UZ",HP18 9UZ,Cherwell,-1.0932506,51.8436749,No known plans,None
10011901348,"HYCOS LODGE, CLUE HILL FARM, BRILL, AYLESBURY, HP18 9UZ",HP18 9UZ,Cherwell,-1.0930141,51.8434244,No known plans,None
10011901347,"THE BUNGALOW, CLUE HILL FARM, BRILL, AYLESBURY, HP18 9UZ",HP18 9UZ,Cherwell,-1.0927681,51.8437471,No known plans,None
10011889265,"WOODLANDS FARM, BRILL, AYLESBURY, HP18 9UZ",HP18 9UZ,Cherwell,-1.0913063,51.845457,No known plans,None
10011911845,"DAVID FARMS, LIVERY STABLES AT, MUSWELL HILL MANOR, STREET FROM PIDDINGTON TO BRILL, PIDDINGTON, HP18 9XD",HP18 9XD,Cherwell,-1.068134,51.834703,No known plans,None
10011908693,"GROOMS COTTAGE, MUSWELL HILL MANOR, BRILL, AYLESBURY, HP18 9XD",HP18 9XD,Cherwell,-1.068134,51.834703,No known plans,None
10011913101,"STABLE COTTAGE, MUSWELL HILL MANOR, BRILL, AYLESBURY, HP18 9XD",HP18 9XD,Cherwell,-1.0678947,51.8350428,No known plans,None
10011913788,"THE GUEST COTTAGE, MUSWELL HILL MANOR, BRILL, AYLESBURY, HP18 9XD",HP18 9XD,Cherwell,-1.068134,51.834703,No known plans,None
10011912891,"THE LOFT, MUSWELL HILL MANOR, BRILL, AYLESBURY, HP18 9XD",HP18 9XD,Cherwell,-1.0676566,51.8353286,No known plans,None
100121301071,"THOMLEY HILL FARM, SMITHS LANE, WORMINGHALL, AYLESBURY, HP18 9XF",HP18 9XF,South_Oxfordshire,-1.1073646,51.7803038,No known plans,None
10011906326,"ANNEXE AT, THE OAKS FARM, BANBURY ROAD, FINMERE, MK18 4AJ",MK18 4AJ,Cherwell,-1.0981797,51.9943888,No known plans,None
10011901736,"ASHLEY STABLES, BANBURY ROAD, FINMERE, MK18 4AJ",MK18 4AJ,Cherwell,-1.0929916,51.9947767,No known plans,None
10011901710,"ST MICHAELS CHURCH, WATER STRATFORD ROAD, FINMERE, MK18 4AT",MK18 4AT,Cherwell,-1.0742334,51.9930612,No known plans,None
10011878127,"1 STATION COTTAGES, NEWTON PURCELL, BUCKINGHAM, MK18 4AU",MK18 4AU,Cherwell,-1.0870536,51.9749449,No known plans,*
10011878128,"2 STATION COTTAGES, NEWTON PURCELL, BUCKINGHAM, MK18 4AU",MK18 4AU,Cherwell,-1.0871125,51.9749094,No known plans,*
10011878129,"3 STATION COTTAGES, NEWTON PURCELL, BUCKINGHAM, MK18 4AU",MK18 4AU,Cherwell,-1.0871569,51.9748738,No known plans,*
10011901713,"BOUNDARY FARM, NEWTON PURCELL, BUCKINGHAM, MK18 4AU",MK18 4AU,Cherwell,-1.0814909,51.9814293,No known plans,*
10011912587,"FLAT, SHELSWELL INN, BUCKINGHAM ROAD, NEWTON PURCELL, MK18 4AU",MK18 4AU,Cherwell,-1.0862744,51.9753165,No known plans,*
10011876679,"SHELSWELL ARMS, NEWTON PURCELL, BUCKINGHAM, MK18 4AU",MK18 4AU,Cherwell,-1.0862744,51.9753165,No known plans,*
10011878131,"STATION HOUSE, BUCKINGHAM ROAD, NEWTON PURCELL, MK18 4AU",MK18 4AU,Cherwell,-1.0858546,51.9759157,No known plans,*
10011901556,"1 WAVERLEY PLACE, NEWTON PURCELL, BUCKINGHAM, MK18 4AX",MK18 4AX,Cherwell,-1.0875261,51.9746159,No known plans,*
10011901557,"2 WAVERLEY PLACE, NEWTON PURCELL, BUCKINGHAM, MK18 4AX",MK18 4AX,Cherwell,-1.0875998,51.9745715,No known plans,*
10011915330,"A T V S ONLY LTD, RECTORY BUILDING, NEWTON PURCELL, BUCKINGHAM, MK18 4AX",MK18 4AX,Cherwell,-1.0907819,51.9734363,No known plans,*
10011912117,"E P PROMOTIONS, RECTORY BUILDING, NEWTON PURCELL, BUCKINGHAM, MK18 4AX",MK18 4AX,Cherwell,-1.0896458,51.9720249,No known plans,*
10011915837,"EUROPEAN PROMOTION, UNIT B, THE OLD RECTORY, STREET THROUGH NEWTON PURCELL, NEWTON PURCELL, MK18 4AX",MK18 4AX,Cherwell,-1.0909553,51.9735006,No known plans,*
10011890939,"FLAT, THE RECTORY, NEWTON PURCELL, BUCKINGHAM, MK18 4AX",MK18 4AX,Cherwell,-1.0910712,51.9735284,No known plans,*
10011890941,"HOLLY TREE COTTAGE, NEWTON PURCELL, BUCKINGHAM, MK18 4AX",MK18 4AX,Cherwell,-1.091871,51.9728513,No known plans,*
10011876812,"MOAT FARM, NEWTON PURCELL, BUCKINGHAM, MK18 4AX",MK18 4AX,Cherwell,-1.0896458,51.9720249,No known plans,*
10011875874,"THE HERMES, NEWTON PURCELL, BUCKINGHAM, MK18 4AX",MK18 4AX,Cherwell,-1.0876466,51.974419,No known plans,*
10011935743,"THE OLD RECTORY DENTAL PRACTICE, DENTAL PRACTICE, THE OLD RECTORY, STREET THROUGH NEWTON PURCELL, NEWTON PURCELL, MK18 4AX",MK18 4AX,Cherwell,-1.0907819,51.9734363,No known plans,*
10011878251,"THE OLD RECTORY, NEWTON PURCELL, BUCKINGHAM, MK18 4AX",MK18 4AX,Cherwell,-1.0907819,51.9734363,No known plans,*
10011878132,"WHITELEAF, NEWTON PURCELL, BUCKINGHAM, MK18 4AX",MK18 4AX,Cherwell,-1.0874079,51.9747049,No known plans,*
10011878249,"1 RECTORY ORCHARD, NEWTON PURCELL, BUCKINGHAM, MK18 4AY",MK18 4AY,Cherwell,-1.091527,51.9733072,No known plans,*
10011878250,"2 RECTORY ORCHARD, NEWTON PURCELL, BUCKINGHAM, MK18 4AY",MK18 4AY,Cherwell,-1.0913223,51.9733505,No known plans,*
10011878243,"22 NEWTON PURCELL, BUCKINGHAM, MK18 4AY",MK18 4AY,Cherwell,-1.091832,51.9726172,No known plans,*
